     z                                 Umean                      Ruu                      Ruv                        Ruw                      Rvu                        Rvv                      Rvw                    Rwu                       Rwv                  Rww
5.326469645317022383e-04 1.464102687528931579e+00 3.717953472000988246e-01 -1.537724284492878932e-04 -3.690528104256012021e-03 -1.537724284492878932e-04 1.168223178831140213e-01 -1.768637083618191902e-07 -3.690528104256012021e-03 -1.768637083618191902e-07 4.957928259995737514e-04
5.856754538069153509e-04 1.855460038148084134e+00 5.915818324258622640e-01 -2.479459598996893691e-04 -7.506953069291758332e-03 -2.479459598996893691e-04 1.718808427451704035e-01 -2.622042491099124906e-07 -7.506953069291758332e-03 -2.622042491099124906e-07 1.127634193792215102e-03
6.407667922991455321e-04 2.302866923868998938e+00 8.997506225432581051e-01 -3.808270261518422795e-04 -1.422539887959483468e-02 -3.808270261518422795e-04 2.404857514034463017e-01 -2.883790944036400923e-07 -1.422539887959483468e-02 -2.883790944036400923e-07 2.334649351235829322e-03
6.979992006586765605e-04 2.806894034156939277e+00 1.313267870141180627e+00 -5.591434853628145111e-04 -2.527458589403145175e-02 -5.591434853628145111e-04 3.221850076964188347e-01 -1.388157883188858179e-07 -2.527458589403145175e-02 -1.388157883188858179e-07 4.459113905663272467e-03
7.574537032105643775e-04 3.369384949982451527e+00 1.852629281383197934e+00 -7.902709203726158288e-04 -4.293654486738902182e-02 -7.902709203726158288e-04 4.162720373170206156e-01 3.922601251267304458e-07 -4.293654486738902182e-02 3.922601251267304458e-07 8.100856539326984143e-03
8.192142153589476554e-04 3.985305430722061004e+00 2.514514960250879394e+00 -1.071568510083298039e-03 -6.896189293024269917e-02 -1.071568510083298039e-03 5.202191472933845873e-01 1.508454208953529714e-06 -6.896189293024269917e-02 1.508454208953529714e-06 1.386348765908260346e-02
8.833676326316996586e-04 4.646682841793227325e+00 3.277106943031291131e+00 -1.394719877166354519e-03 -1.042590163937738568e-01 -1.394719877166354519e-03 6.313817457301571512e-01 3.354881352838221227e-06 -1.042590163937738568e-01 3.354881352838221227e-06 2.229412604759789876e-02
9.500039212971155738e-04 5.345112451594061120e+00 4.109778090958156938e+00 -1.750870010548159859e-03 -1.493586402054189188e-01 -1.750870010548159859e-03 7.476755092326422547e-01 6.031701285309358133e-06 -1.493586402054189188e-01 6.031701285309358133e-06 3.403995859583638234e-02
1.019216210471907136e-03 6.068439386025148430e+00 4.963902239829999452e+00 -2.128871717774603271e-03 -2.046297632845530678e-01 -2.128871717774603271e-03 8.669538524910782584e-01 9.514788565633749910e-06 -2.046297632845530678e-01 9.514788565633749910e-06 5.022179762543056702e-02
1.091100885627738258e-03 6.802066386769910267e+00 5.782798592350981259e+00 -2.513630284125694531e-03 -2.678801514626044100e-01 -2.513630284125694531e-03 9.875606670055759873e-01 1.321126525110736512e-05 -2.678801514626044100e-01 1.321126525110736512e-05 7.133461183543038375e-02
1.165757683388961427e-03 7.533912971242229695e+00 6.524152112682672922e+00 -2.891810785719715719e-03 -3.363604847358948047e-01 -2.891810785719715719e-03 1.108470759285102636e+00 1.610415625855036669e-05 -3.363604847358948047e-01 1.610415625855036669e-05 9.762648036266263762e-02
1.243289787499846002e-03 8.244759348055108461e+00 7.130358297903928388e+00 -3.244780101372371495e-03 -4.070377754512987112e-01 -3.244780101372371495e-03 1.227656188310248142e+00 1.646926564834865647e-05 -4.070377754512987112e-01 1.646926564834865647e-05 1.301506609650922297e-01
1.323803925823165877e-03 8.926861328798548101e+00 7.591875481125912373e+00 -3.565649486699530232e-03 -4.768410124967405461e-01 -3.565649486699530232e-03 1.344242032117513030e+00 1.353219950206788959e-05 -4.768410124967405461e-01 1.353219950206788959e-05 1.687020782716768252e-01
1.407410468214735861e-03 9.572269485392567390e+00 7.904636113043861378e+00 -3.850792102238468143e-03 -5.432576421655515020e-01 -3.850792102238468143e-03 1.456809323663968980e+00 7.948266714766618127e-06 -5.432576421655515020e-01 7.948266714766618127e-06 2.132013998323034343e-01
1.494223525099798097e-03 1.016898584811833572e+01 8.061373148187511717e+00 -4.090787555665030724e-03 -6.036712901947128840e-01 -4.090787555665030724e-03 1.562813230073509363e+00 2.487321306920091538e-06 -6.036712901947128840e-01 2.487321306920091538e-06 2.637170714242888514e-01
1.584361046557110006e-03 1.072368909806999859e+01 8.099093989187199583e+00 -4.275695799221042141e-03 -6.580932605339328001e-01 -4.275695799221042141e-03 1.662177741571678080e+00 6.595697196017492084e-07 -6.580932605339328001e-01 6.595697196017492084e-07 3.191360745578875058e-01
1.677944921695217985e-03 1.122517270583287541e+01 8.020334275886373376e+00 -4.349420087292005764e-03 -7.046936493098607812e-01 -4.349420087292005764e-03 1.751718673964770545e+00 5.652602985774358388e-06 -7.046936493098607812e-01 5.652602985774358388e-06 3.789935244103582734e-01
1.775101078082228466e-03 1.168571374463382995e+01 7.864206318141730989e+00 -4.282669156326013998e-03 -7.450237133877375406e-01 -4.282669156326013998e-03 1.832552253909295326e+00 1.669099528044500207e-05 -7.450237133877375406e-01 1.669099528044500207e-05 4.419156758389316542e-01
1.875959580966139956e-03 1.209963199582006688e+01 7.642900699228025729e+00 -4.042827546705162617e-03 -7.784263383681675474e-01 -4.042827546705162617e-03 1.902465582629046859e+00 3.377220623454531170e-05 -7.784263383681675474e-01 3.377220623454531170e-05 5.067507354602609482e-01
1.980654731996354251e-03 1.247641148967162117e+01 7.382100605029609852e+00 -3.686159216597474815e-03 -8.063434014419151863e-01 -3.686159216597474815e-03 1.962669354089153773e+00 5.405972435685312309e-05 -8.063434014419151863e-01 5.405972435685312309e-05 5.722592677120893478e-01
2.089325167129438710e-03 1.281768638977027663e+01 7.096615656939532002e+00 -3.258075971372016710e-03 -8.291953844261390483e-01 -3.258075971372016710e-03 2.012936584909039706e+00 7.350512915942650303e-05 -8.291953844261390483e-01 7.350512915942650303e-05 6.372259707756263714e-01
2.202113953372521887e-03 1.312624021348742254e+01 6.801469067619327014e+00 -2.796218953686818807e-03 -8.475814182639755945e-01 -2.796218953686818807e-03 2.053453272340804325e+00 8.611289662089941194e-05 -8.475814182639755945e-01 8.611289662089941194e-05 7.003225077560616407e-01
2.319168683986423413e-03 1.340895652993861376e+01 6.506814757964885843e+00 -2.308393181291543139e-03 -8.625048521696124793e-01 -2.308393181291543139e-03 2.085695986821122005e+00 8.876085300701725864e-05 -8.625048521696124793e-01 8.876085300701725864e-05 7.609650725235137525e-01
2.440641571737494058e-03 1.366639209776075781e+01 6.221893333026723205e+00 -1.807525966123256413e-03 -8.742070241581624268e-01 -1.807525966123256413e-03 2.109659301765666406e+00 8.288008726578204965e-05 -8.742070241581624268e-01 8.288008726578204965e-05 8.179435834346476808e-01
2.566689539752193931e-03 1.390291254664888854e+01 5.952111755500744117e+00 -1.304632968225680201e-03 -8.832885878778374833e-01 -1.304632968225680201e-03 2.126430927721894903e+00 7.534597232404691115e-05 -8.832885878778374833e-01 7.534597232404691115e-05 8.707362100767583879e-01
2.697474309491398707e-03 1.412244274092375207e+01 5.699833555290169329e+00 -7.712670837818952265e-04 -8.902397548633553814e-01 -7.712670837818952265e-04 2.136945752903003815e+00 6.906564985201057256e-05 -8.902397548633553814e-01 6.906564985201057256e-05 9.191632304306687207e-01
2.833162485323083984e-03 1.432712410849798168e+01 5.467503439886789884e+00 -2.257210061120448058e-04 -8.953553882105134143e-01 -2.257210061120448058e-04 2.141701863289258601e+00 7.079853534188884254e-05 -8.953553882105134143e-01 7.079853534188884254e-05 9.628750407347992368e-01
2.973925635130916269e-03 1.451809539756529865e+01 5.258005920086008977e+00 2.092430991093994683e-04 -8.988350784307307384e-01 2.092430991093994683e-04 2.141091908069071792e+00 9.387424360951107931e-05 -8.988350784307307384e-01 9.387424360951107931e-05 1.001327882134694480e+00
3.119940366354001255e-03 1.469889964676718108e+01 5.068969424126871459e+00 4.669548007099081017e-04 -9.010599080786227955e-01 4.669548007099081017e-04 2.136131736456822416e+00 1.264269895758303084e-04 -9.010599080786227955e-01 1.264269895758303084e-04 1.035020437355759215e+00
3.271388396808854078e-03 1.487109724202698757e+01 4.899663171832558284e+00 5.329550321371603330e-04 -9.022211330075222691e-01 5.329550321371603330e-04 2.127325569944631845e+00 1.588370969313021748e-04 -9.022211330075222691e-01 1.588370969313021748e-04 1.064058667694174787e+00
3.428456619598028131e-03 1.503605687428567705e+01 4.748883231891221968e+00 4.827313577254072627e-04 -9.024863415943321643e-01 4.827313577254072627e-04 2.115121979730769208e+00 2.023362976736041994e-04 -9.024863415943321643e-01 2.023362976736041994e-04 1.088648484636795644e+00
3.591337161362473298e-03 1.519497138452241636e+01 4.614968739548023002e+00 4.082404044842610075e-04 -9.019760725760427311e-01 4.082404044842610075e-04 2.099858911450009913e+00 2.526603098601338995e-04 -9.019760725760427311e-01 2.526603098601338995e-04 1.109081013127833915e+00
3.760227433084690606e-03 1.534864542643292573e+01 4.496517864660564356e+00 3.557702878002902630e-04 -9.007722446596259092e-01 3.557702878002902630e-04 2.081793301975922716e+00 2.941092940729553577e-04 -9.007722446596259092e-01 2.941092940729553577e-04 1.125625903037897446e+00
3.935330172599080766e-03 1.549807429746091181e+01 4.391450665626690508e+00 3.442984596721876725e-04 -8.989930090261123441e-01 3.442984596721876725e-04 2.061358259591393516e+00 3.025552609198895143e-04 -8.989930090261123441e-01 3.025552609198895143e-04 1.138751695365505467e+00
4.116853477913236074e-03 1.564398422504704378e+01 4.298172375238788590e+00 3.184668626404502253e-04 -8.967391164526961056e-01 3.184668626404502253e-04 2.039097089811637620e+00 2.734417206998845094e-04 -8.967391164526961056e-01 2.734417206998845094e-04 1.148863002465980943e+00
4.305010830390549464e-03 1.578683991553566912e+01 4.215376605218030370e+00 3.515048744047334487e-04 -8.940822069448737253e-01 3.515048744047334487e-04 2.015444417720288595e+00 2.130902538099490315e-04 -8.940822069448737253e-01 2.130902538099490315e-04 1.156285728723808859e+00
4.500021106789753138e-03 1.592699535249040643e+01 4.141495255335809311e+00 4.495910897379414690e-04 -8.910588788988721420e-01 4.495910897379414690e-04 1.990625145012198782e+00 1.386741517492545543e-04 -8.910588788988721420e-01 1.386741517492545543e-04 1.161344822283335798e+00
4.702108579102051017e-03 1.606473889651607934e+01 4.075022164382319900e+00 5.208407168401019876e-04 -8.877087757748689523e-01 5.208407168401019876e-04 1.964893594092709694e+00 6.784641224276954377e-05 -8.877087757748689523e-01 6.784641224276954377e-05 1.164350750846489424e+00
4.911502901070825475e-03 1.620030910809083480e+01 4.014679548447768198e+00 4.838772455786057524e-04 -8.840676272390589618e-01 4.838772455786057524e-04 1.938606491444716973e+00 3.499077314119528634e-05 -8.840676272390589618e-01 3.499077314119528634e-05 1.165580931573937384e+00
5.128439080223228495e-03 1.633390045769500531e+01 3.959385170473520787e+00 4.121694845723340717e-04 -8.801304510188470154e-01 4.121694845723340717e-04 1.911952969084394161e+00 5.793597080083600769e-05 -8.801304510188470154e-01 5.793597080083600769e-05 1.165299441646251877e+00
5.353157434187976252e-03 1.646568536142364536e+01 3.908143616764956807e+00 4.599443946000815594e-04 -8.758904574883508154e-01 4.599443946000815594e-04 1.885005277570011906e+00 1.364222674090303871e-04 -8.758904574883508154e-01 1.364222674090303871e-04 1.163778557313916995e+00
5.585903530019180156e-03 1.659578912992628474e+01 3.860115181758279501e+00 5.856984470272353803e-04 -8.713994780190819078e-01 5.856984470272353803e-04 1.858015105464344341e+00 2.571937187132887687e-04 -8.713994780190819078e-01 2.571937187132887687e-04 1.161246563075173377e+00
5.826928105193269342e-03 1.672433308785707951e+01 3.814549729027708835e+00 7.375771888789034057e-04 -8.666638877108302497e-01 7.375771888789034057e-04 1.831378611637690446e+00 3.738585984475238742e-04 -8.666638877108302497e-01 3.738585984475238742e-04 1.157879130303296922e+00
6.076486968895024841e-03 1.685141630795250123e+01 3.770847609175542736e+00 9.239499409407795835e-04 -8.616494268655949806e-01 9.239499409407795835e-04 1.805349684133556121e+00 4.504754485341209633e-04 -8.616494268655949806e-01 4.504754485341209633e-04 1.153774401838117525e+00
6.334840882160570723e-03 1.697709526384663192e+01 3.728644045747842917e+00 1.246984228079745655e-03 -8.563416641298818854e-01 1.246984228079745655e-03 1.779725936625991434e+00 4.628953426839632970e-04 -8.563416641298818854e-01 4.628953426839632970e-04 1.149001122337884206e+00
6.602255415400241564e-03 1.710139849049491900e+01 3.687367457324441489e+00 1.559089069102279936e-03 -8.507393247276184844e-01 1.559089069102279936e-03 1.754642507891436720e+00 4.195194054012906415e-04 -8.507393247276184844e-01 4.195194054012906415e-04 1.143639953544586696e+00
6.879000781783639260e-03 1.722430600170543968e+01 3.646639319159924231e+00 1.768385790315220524e-03 -8.448521327250689827e-01 1.768385790315220524e-03 1.730148464243861817e+00 3.426717462061653393e-04 -8.448521327250689827e-01 3.426717462061653393e-04 1.137790640721403124e+00
7.165351644933375293e-03 1.734594994897215514e+01 3.606213332389167192e+00 1.969410052611938675e-03 -8.386941664307728805e-01 1.969410052611938675e-03 1.706036299987528926e+00 2.793826959024194598e-04 -8.386941664307728805e-01 2.793826959024194598e-04 1.131541734040420133e+00
7.461586899344714238e-03 1.746634930313993905e+01 3.566168130736447672e+00 1.964044078739411552e-03 -8.322879579920149373e-01 1.964044078739411552e-03 1.682135715252877750e+00 2.892399601213189834e-04 -8.322879579920149373e-01 2.892399601213189834e-04 1.124921448135119961e+00
7.767989421925713435e-03 1.758554078190302405e+01 3.526372877426977581e+00 1.820581986843686998e-03 -8.256144736524672068e-01 1.820581986843686998e-03 1.658601295047818835e+00 3.298261852673913495e-04 -8.256144736524672068e-01 3.298261852673913495e-04 1.117953686794093349e+00
8.084845793037882117e-03 1.770351348247060486e+01 3.486758946586761443e+00 1.784082861482908650e-03 -8.186760619349194856e-01 1.784082861482908650e-03 1.635478245367497641e+00 3.525084098989649428e-04 -8.186760619349194856e-01 3.525084098989649428e-04 1.110664087896480634e+00
8.412445985412979679e-03 1.782023318686066204e+01 3.447257596793489753e+00 1.841929315779936016e-03 -8.115192140493382444e-01 1.841929315779936016e-03 1.612669667721115196e+00 3.661919323105018893e-04 -8.115192140493382444e-01 3.661919323105018893e-04 1.103059988145667969e+00
8.751083019326781273e-03 1.793552276941785806e+01 3.407466609564818505e+00 2.019936866052778057e-03 -8.041673725314852916e-01 2.019936866052778057e-03 1.590234478235103222e+00 3.258852719582946305e-04 -8.041673725314852916e-01 3.258852719582946305e-04 1.095156802291280096e+00
9.101052582428634935e-03 1.804965536972405360e+01 3.367024971777567988e+00 2.116382137296283703e-03 -7.966072599663402976e-01 2.116382137296283703e-03 1.568252060973666984e+00 2.139086666883139969e-04 -7.966072599663402976e-01 2.139086666883139969e-04 1.086991836708467218e+00
9.462652612656538564e-03 1.816273842500365987e+01 3.325869030691743777e+00 2.017069989335396399e-03 -7.888545828881368127e-01 2.017069989335396399e-03 1.546587669592048186e+00 9.144299398036441636e-05 -7.888545828881368127e-01 9.144299398036441636e-05 1.078605414140790142e+00
9.836182842713437832e-03 1.827482695676066626e+01 3.283940584049780398e+00 1.850627818290678578e-03 -7.808953504701252601e-01 1.850627818290678578e-03 1.525167404546781791e+00 3.463446784675887948e-05 -7.808953504701252601e-01 3.463446784675887948e-05 1.069992644921487601e+00
1.022194430464257349e-02 1.838569944211748464e+01 3.241419057644419954e+00 1.727679574985469153e-03 -7.727444564033717489e-01 1.727679574985469153e-03 1.504151045805616205e+00 6.566862958296076577e-05 -7.727444564033717489e-01 6.566862958296076577e-05 1.061114987271293719e+00
1.062023879311980654e-02 1.849533437649812484e+01 3.198250145179306170e+00 1.417916409563588958e-03 -7.644050319517621261e-01 1.417916409563588958e-03 1.483417935472657989e+00 1.409939138301502060e-04 -7.644050319517621261e-01 1.409939138301502060e-04 1.051931404506708967e+00
1.103136828618012967e-02 1.860371523222016776e+01 3.154404369785741125e+00 1.084938065948431963e-03 -7.558536188990910842e-01 1.084938065948431963e-03 1.462817286522209992e+00 2.156462212804009597e-04 -7.558536188990910842e-01 2.156462212804009597e-04 1.042429820817768915e+00
1.145563432221603090e-02 1.871081836450082747e+01 3.109877001442963973e+00 8.696229139957443403e-04 -7.470533586299791251e-01 8.696229139957443403e-04 1.442551796110729700e+00 2.469208469583217009e-04 -7.470533586299791251e-01 2.469208469583217009e-04 1.032607950244506911e+00
1.189333733222791914e-02 1.881652942689055408e+01 3.065023734002075173e+00 5.864466766416279436e-04 -7.379797286361707842e-01 5.864466766416279436e-04 1.422430692074895253e+00 2.255884449936272152e-04 -7.379797286361707842e-01 2.255884449936272152e-04 1.022523583573202499e+00
1.234477592647343150e-02 1.892107441041414262e+01 3.019937754273599673e+00 4.352967759687361533e-04 -7.287416931334622650e-01 4.352967759687361533e-04 1.402238773005498373e+00 1.787592430329257211e-04 -7.287416931334622650e-01 1.787592430329257211e-04 1.012255293417900992e+00
1.281024613485421196e-02 1.902445157456821789e+01 2.974352536304129213e+00 4.192402996390383308e-04 -7.193153718150516740e-01 4.192402996390383308e-04 1.382061148115140137e+00 1.130060648137914411e-04 -7.193153718150516740e-01 1.130060648137914411e-04 1.001806823866776330e+00
1.329004060059680616e-02 1.912645675865451977e+01 2.927968195930584994e+00 6.517751956135002783e-04 -7.096146998962351571e-01 6.517751956135002783e-04 1.361734878623736877e+00 9.843728684554817502e-05 -7.096146998962351571e-01 9.843728684554817502e-05 9.911404621814399185e-01
1.378444772703040465e-02 1.922749230266211740e+01 2.880751200396095335e+00 1.048640025757234875e-03 -6.996389054926008821e-01 1.048640025757234875e-03 1.341070705229354010e+00 1.839740849784499198e-04 -6.996389054926008821e-01 1.839740849784499198e-04 9.802284860535857014e-01
1.429375077753810945e-02 1.932763498234539412e+01 2.832981001913225327e+00 1.679004085605139297e-03 -6.895339889230593933e-01 1.679004085605139297e-03 1.320194429998699626e+00 2.415345465378641550e-04 -6.895339889230593933e-01 2.415345465378641550e-04 9.690576176402242448e-01
1.481822692906186074e-02 1.942673060055184209e+01 2.785078074043721319e+00 2.336960973645677009e-03 -6.792842896824041743e-01 2.336960973645677009e-03 1.299452858162638114e+00 2.339207393173753694e-04 -6.792842896824041743e-01 2.339207393173753694e-04 9.575961605178031633e-01
1.535814627987443920e-02 1.952500772900223325e+01 2.737029729531738287e+00 3.028827715351116012e-03 -6.687827685944917055e-01 3.028827715351116012e-03 1.278981419276596254e+00 1.957460947344909013e-04 -6.687827685944917055e-01 1.957460947344909013e-04 9.458369355630844577e-01
1.591377081269431185e-02 1.962235439920517166e+01 2.688813205218479219e+00 3.571621359355770485e-03 -6.579926100253219445e-01 3.571621359355770485e-03 1.258518795581801575e+00 1.147222293351753385e-04 -6.579926100253219445e-01 1.147222293351753385e-04 9.338640816204730744e-01
1.648535331461109532e-02 1.971870796897149702e+01 2.640410995396779814e+00 3.841998586974448328e-03 -6.470131123606198686e-01 3.841998586974448328e-03 1.237743084222930001e+00 -3.292323986082937602e-05 -6.470131123606198686e-01 -3.292323986082937602e-05 9.217511975382167710e-01
1.707313625571049709e-02 1.981418027694498818e+01 2.591662541782023155e+00 3.945828480948375058e-03 -6.359482004335731409e-01 3.945828480948375058e-03 1.216646795491845179e+00 -1.824799192411932411e-04 -6.359482004335731409e-01 -1.824799192411932411e-04 9.094728036635046919e-01
1.767735062873561011e-02 1.990857536108479309e+01 2.542729163468421039e+00 3.795730073437495865e-03 -6.247801392901133344e-01 3.795730073437495865e-03 1.195180432259891345e+00 -2.935579839485190790e-04 -6.247801392901133344e-01 -2.935579839485190790e-04 8.969820873573960407e-01
1.829821475259542363e-02 2.000207822416599512e+01 2.493272094011108386e+00 3.468786123777169248e-03 -6.134450777635650498e-01 3.468786123777169248e-03 1.173656746097983428e+00 -3.245996944765677382e-04 -6.134450777635650498e-01 -3.245996944765677382e-04 8.842341012016600166e-01
1.893593304302959232e-02 2.009464090511194101e+01 2.443504396504396325e+00 3.332465490578643847e-03 -6.019623519615580065e-01 3.332465490578643847e-03 1.152391860204516227e+00 -2.858387376959597211e-04 -6.019623519615580065e-01 -2.858387376959597211e-04 8.712288711057808444e-01
1.959069475425654488e-02 2.018611318714199498e+01 2.393347277319168409e+00 3.392531704748603504e-03 -5.902384670778012543e-01 3.392531704748603504e-03 1.131257387541979353e+00 -1.869286589427594032e-04 -5.902384670778012543e-01 -1.869286589427594032e-04 8.579928941230103856e-01
2.026267269596839643e-02 2.027669330864057784e+01 2.342971258842161397e+00 3.566165907748801520e-03 -5.782631621282211531e-01 3.566165907748801520e-03 1.109824958151674146e+00 -6.700677729905131171e-05 -5.782631621282211531e-01 -6.700677729905131171e-05 8.444752599961287132e-01
2.095202193058477019e-02 2.036620673863346909e+01 2.293016159463503012e+00 3.717624040507953431e-03 -5.661134763357551503e-01 3.717624040507953431e-03 1.088164360793045349e+00 4.188094869160301681e-05 -5.661134763357551503e-01 4.188094869160301681e-05 8.306723184669940752e-01
2.165887845623540656e-02 2.045493227792624680e+01 2.243084386921364359e+00 3.632116924204651515e-03 -5.537778608403040037e-01 3.632116924204651515e-03 1.066386470059115243e+00 1.364254617823856548e-04 -5.537778608403040037e-01 1.364254617823856548e-04 8.166575999315617285e-01
2.238335788150146513e-02 2.054280723750585480e+01 2.192777716239678654e+00 3.443292979060202409e-03 -5.412412852491198523e-01 3.443292979060202409e-03 1.044366626869331904e+00 2.188866501309722824e-04 -5.412412852491198523e-01 2.188866501309722824e-04 8.024936726489857453e-01
2.312555409850316351e-02 2.062983078266378101e+01 2.142054021120090468e+00 3.198625943364011553e-03 -5.284922204578487159e-01 3.198625943364011553e-03 1.022104960458756873e+00 3.196896110383054654e-04 -5.284922204578487159e-01 3.196896110383054654e-04 7.882252303750981737e-01
2.388553796146712649e-02 2.071587050594782298e+01 2.091431154225989797e+00 2.892079909208955611e-03 -5.156156240904382626e-01 2.892079909208955611e-03 9.994380675787961632e-01 3.392824151163723696e-04 -5.156156240904382626e-01 3.392824151163723696e-04 7.738442251389302529e-01
2.466335597843735336e-02 2.080069939099228193e+01 2.041228171414525505e+00 2.544466490232825690e-03 -5.026611422006134200e-01 2.544466490232825690e-03 9.768086762224619246e-01 3.223489868315688512e-04 -5.026611422006134200e-01 3.223489868315688512e-04 7.593123593028747731e-01
2.545902902429610440e-02 2.088435881238314096e+01 1.991223692661985067e+00 2.223578743769653431e-03 -4.895998151611126725e-01 2.223578743769653431e-03 9.542742209905789030e-01 3.319832604036625505e-04 -4.895998151611126725e-01 3.319832604036625505e-04 7.446804847595897003e-01
2.627255108373102374e-02 2.096684503582978820e+01 1.941508474105140714e+00 2.155068908297965487e-03 -4.764329469228365532e-01 2.155068908297965487e-03 9.315164812128663430e-01 2.984948480699604542e-04 -4.764329469228365532e-01 2.984948480699604542e-04 7.299471041393063020e-01
2.710388803320967765e-02 2.104836733487471179e+01 1.891905449899484060e+00 2.280905591044691226e-03 -4.630971043479242266e-01 2.280905591044691226e-03 9.085935120628394479e-01 2.526552486843507399e-04 -4.630971043479242266e-01 2.526552486843507399e-04 7.150541886321345464e-01
2.795297647139693281e-02 2.112868713489193695e+01 1.842092344389617553e+00 2.385621397375263433e-03 -4.495652593123000695e-01 2.385621397375263433e-03 8.852729198741158267e-01 2.007342302368106748e-04 -4.495652593123000695e-01 2.007342302368106748e-04 7.000797066048604078e-01
2.881972260776054229e-02 2.120787427951168169e+01 1.792057849593736041e+00 2.507916880099453610e-03 -4.358807527151514760e-01 2.507916880099453610e-03 8.616246667928906255e-01 1.389390099119618279e-04 -4.358807527151514760e-01 1.389390099119618279e-04 6.851180564278716023e-01
2.970400121935028517e-02 2.128566063429730804e+01 1.741727481684310685e+00 2.738919667235518822e-03 -4.220354704576081972e-01 2.738919667235518822e-03 8.377891568651321119e-01 1.019665844897932544e-04 -4.220354704576081972e-01 1.019665844897932544e-04 6.703056870973289616e-01
3.060565468589394184e-02 2.136227909239552147e+01 1.691084691447374944e+00 2.846047611400247257e-03 -4.080443707043619472e-01 2.846047611400247257e-03 8.140683964611149515e-01 7.245121440820968036e-05 -4.080443707043619472e-01 7.245121440820968036e-05 6.556849311947751113e-01
3.152449211342169683e-02 2.143752627213530815e+01 1.640236922016540033e+00 3.034044163196679324e-03 -3.939953136062354089e-01 3.034044163196679324e-03 7.906427750178672831e-01 3.974010247074091318e-05 -3.939953136062354089e-01 3.974010247074091318e-05 6.412924747827141170e-01
